,title,vote,genre,country,time,grade,poster_path,actor_1,actor_2,actor_3,year,month,day,content
621,벨빌 캅,관람객 평점 없음,"['범죄', '액션']",프랑스,111분,15세 관람가,https://movie-phinf.pstatic.net/20200618_80/1592461627412kkfcB_JPEG/movie_image.jpg?type=m203_290_2,오마 사이,,,2020,06,25,"프랑스 벨빌의 평범한 경찰 케이타. 그에게 오랜만에 친구가 찾아오지만, 반가움도 잠시 정체를 알 수 없는 괴한들에게 총을 맞고 그 자리에서 죽고만다. 친구의 죽음이 국제적인 마약 범죄단과 연관이 있음을 알게된 케이타는 놈들을 소탕하기 위해 마이애미로 떠난다. 마이애미의 가르시아 형사의 도움을 받아 추적해가는 케이타. 그러나 너무나도 맞지 않는 둘의 수사는 계속해서 삐그덕거릴 뿐이다.', ', 그래도 포기란 없다.', 일단 직진! 노빠꾸 수사 액션이 펼쳐진다!"
622,슈퍼펫,관람객 평점 없음,['애니메이션'],영국,88분,전체 관람가,https://movie-phinf.pstatic.net/20200722_290/1595383570763Reaf8_JPEG/movie_image.jpg?type=m203_290_2,루크 에반스, 닉 프로스트, 젬마 아터튼,2020,08,13,"잃어버린 우주 캡슐을 찾으면 주인님을 만날 수 있어!1969년, 우주 캡슐을 타고 머나먼 우주로 모험을 떠난 용감한 강아지 ‘버디’는예상치 못한 사고로 50년이 흐른 지구, 글렌필드에 불시착한다.하지만 예전과 달리 동물과 인간의 사이가 적대적으로 변해버린 그곳에서‘버디’는 주인을 찾기 위해 고군분투하고, 그러던 중 최첨단 스마트 영웅 터보캣을 만나는데…!인간들이 동물을 다시 사랑하는 그날까지!스타독 ‘버디’와 터보캣 ‘펠릭스’는 동물들도 지키고 주인도 찾을 수 있을까?"
623,토네이도: 지구 재앙의 날,관람객 평점 없음,['액션'],미국,88분,15세 관람가,https://movie-phinf.pstatic.net/20200420_1/1587365741333AD2G1_JPEG/movie_image.jpg?type=m203_290_2,데이빗 G.B. 브라운,,,2020,04,24,인기 소설 작가 잭은 25년 전 사라진 아버지의 진실을 밝히기 위해 숲속 산장으로 향했다가 사상 초유의 토네이도를 만나게 된다. 토네이도에서 살아남기 위한 유일한 단서는 아버지가 남긴 녹음기의 메세지! 이제 잭은 목숨을 위협하는 재난 사태에 맞서 살아남아야만 한다.
624,샬롯: 욕망의 법칙,관람객 평점 없음,"['멜로/로맨스', '드라마']",미국,74분,청소년 관람불가,https://movie-phinf.pstatic.net/20200422_82/1587545928299UHLbO_JPEG/movie_image.jpg?type=m203_290_2,다샤 네크라소바, 모건 크란츠,,2020,05,01,시인을 꿈꾸며 베를린까지 날아온 샬롯. 낯선 도시에서 만난 매력적인 남자 프란츠에게 이미 애인이 있다는 것을 알면서도 유혹에 빠지고 만다. 뜨거운 사랑의 날들을 보내던 중 심지어 전 남자친구 올리버까지 샬롯 앞에 나타난다. 이제 더욱 도발적이고 위험한 욕망의 밤이 시작된다.
626,금기를 깨트린 여자들,관람객 평점 없음,['공포'],스페인,104분,청소년 관람불가,https://movie-phinf.pstatic.net/20200428_51/1588062167441cWCzr_JPEG/movie_image.jpg?type=m203_290_2,콜린 샤빈, 알지라 고메즈,,2020,05,20,심각한 부상을 입고 헤메던 남자는 여자들만 모여 사는 비밀스러운 저택에 머물게 된다. 낯선 남자의 등장에도 당황하기 보다는 호기심을 보이는 그녀들. 각기 다른 매력을 지닌 여자들은 숨겨온 욕망을 차츰 드러낸다. 이제 한 남자를 둘러싼 여자들의 치명적인 매혹의 밤이 시작된다.
627,킬 모드,관람객 평점 없음,['액션'],네덜란드,97분,15세 관람가,https://movie-phinf.pstatic.net/20200512_52/1589251300151U04Rq_JPEG/movie_image.jpg?type=m203_290_2,데이브 멘텔, 줄리아 베이틀란, 야스민 블레이크,2020,06,25,치명적인 바이러스가 전세계에 퍼지고컴퍼니는 치료제를 내놓아 모든 것을 통제한다.저항군은 컴퍼니가 바이러스를 퍼트렸다고 의심하고컴퍼니는 특수부대를 투입하여 저항군을 몰살하려 한다.드디어 음모를 밝히려는 저항군과 컴퍼니의운명을 건 논스톱 전투가 시작되는데…
628,컬트 걸,관람객 평점 없음,['공포'],오스트레일리아,83분,청소년 관람불가,https://movie-phinf.pstatic.net/20200601_210/1590997533976V6pOC_JPEG/movie_image.jpg?type=m203_290_2,사라 램버그, 제인 배들러, 앨버트 고익맨,2020,06,02,"[""이교도 집단인 '골든패스'에서 자란 달리아와 두 여동생. 경찰의 수사망으로 달리아 혼자 구조되고 동생들과 헤어지게 된다. 몇 년이 지나고, 다시 사이비 종교의 징후가 나타나자 달리아는 두 여동생의 행방을 찾기 위해, 골든패스와 연관이 있는 '머록'을 찾아 비밀의 숲으로 떠나는데...""]"
632,레지스탕스,관람객 평점 없음,['드라마'],프랑스,121분,15세 관람가,https://movie-phinf.pstatic.net/20210901_206/1630476127597lC9ua_JPEG/movie_image.jpg?type=m203_290_2,제시 아이젠버그, 클레멘스 포시, 마치아스 슈와바이어퍼,2021,09,09,"나치 점령 국가에서 자란 젊은 청년 마르셀은 찰리 채플린과 같이 전설의 마임 배우를 꿈꾸며 연극, 그림 그리기 등 다양한 예술 활동에 매진한다. 그러나 세계 2차 대전이 발발하고 프랑스가 연합국으로 참전하자, 마르셀 역시 프랑스 저항군 “레지스탕스”에 포섭이 된다. 그리고 그곳에서 마르셀은 잠시 꿈을 뒤로하며, 평소 뛰어난 언변과 연기력 등을 이용해 홀로코스트로 고통받는 수 천명의 아이들을 구출해내는 비밀 작전을 수행하게 된다."
636,디지몬 어드벤처 라스트 에볼루션 : 인연,관람객 평점 없음,"['애니메이션', '모험']",일본,114분,12세 관람가,https://movie-phinf.pstatic.net/20200515_88/1589512642615JWBeQ_JPEG/movie_image.jpg?type=m203_290_2,하나에 나츠키, 호소야 요시마사, 사카모토 치카,2021,02,17,"컴퓨터 모니터를 통해 세상 밖으로 나온 의문의 알.타이치와 히카리 남매 앞에 디지몬과의 신비롭고 운명적인 만남이 펼쳐진다.<디지몬 어드벤처 : 운명적 만남>""우리들의 끈끈한 \'인연\'을 보여주자.""대학생 타이치와 다른 '선택받은 아이들'은 모두 각자의 자리에서 저마다의 삶을 살아가고 있다., 그러던 어느 날, 전 세계의 '선택받은 아이들'에게 의문의 사건이 일어나기 시작한다., 에오스몬이라 불리는 디지몬에 그 원인이 있음을 알게 된 타이치 일동은 에오스몬을 제압하려 하지만 이내 아구몬을 비롯한 디지몬들의 진화에 문제가 발생하는데…세상의 이변에서 다시 한번 친구들을 구할 수 있을까?<디지몬 어드벤처 : 라스트 에볼루션 인연>"
639,소시오패스,관람객 평점 없음,"['스릴러', '범죄']",미국,69분,15세 관람가,https://movie-phinf.pstatic.net/20200214_212/1581664436226LCfTu_JPEG/movie_image.jpg?type=m203_290_2,에린 맥개리, 마이클 드레이퍼, 데니스 핏츠패트릭,2020,02,20,"사람들이 없는 한적한 곳으로 캠핑을 떠난 연인 크리스토퍼와 로리.깊은 산속에서 둘 만의 오붓한 밤을 즐기던 중 갑자기 총성이 울린다.다음날 아침 가까스로 정신을 차린 로리. 애인은 감쪽같이 사라졌고, 팔에는 깊은 상처만이 남았다. 이제 지옥으로 변해버린 이 숲에서 필사적으로 탈출해야 한다!"
640,익스트랙션,관람객 평점 없음,"['액션', '드라마']",미국,116분,청소년 관람불가,https://movie-phinf.pstatic.net/20200402_260/1585818978643t1zLK_JPEG/movie_image.jpg?type=m203_290_2,크리스 헴스워스, 루드락 자스왈,,2020,04,24,세계에서 가장 위험한 도시로 납치된 의뢰인의 아들을 구하기 위해전직 특수부대 출신 용병이 거대 범죄 조직에 맞서 벌이는 리얼 액션 구출극
641,굿와이프:아내체험현장,관람객 평점 없음,['드라마'],한국,81분,청소년 관람불가,https://movie-phinf.pstatic.net/20200225_46/1582618209403G1YBH_JPEG/movie_image.jpg?type=m203_290_2,한가인, 임초희, 안민우,2020,02,26,"자기세계에 갇혀 사는 다중인격자인 오광수는 우연히 도로에 쓰러진 순이를 발견하고 그녀를 집으로 데리고 와 살게 된다.오광수의 세계에 갇힌 순이는 게임 캐릭터처럼 사육당하고, 감시당하고, 자신이 납치되었다는 생각에 애완녀로 길들여진다는 느낌을 받게 되어 그 방에서 탈출하고 싶어한다.순이는 섹스 파트너가 아닌 자신만을 완벽하게 사랑해주는 진짜 사랑을 원한다.같은 사무실을 쓰는 동료이자 포르노 웹툰 작가인 마달진은 광수를 연모한다.실제인지 가상인지 모를 광수의 정신세계를 인정하면서도 그의 다중인격에 혼란스러워 한다.그의 여자 친구인 손미자도 육탄공세로 광수를 병적으로 좋아하고, 광수의 예비신부가 되고 싶어 한다.그의 주변에 정상적인 관계는 아무도 없다.결국 도망쳤던 순이는 광수의 월드로 돌아와, 그간 기억은 타인의 관심과 애정을 받기 위해 스스로 기억 상실을 조작했다고 고백을 하고, 아이러니하게도 그녀가 몸을 팔아 번 돈으로 넓은 집(그들이 꿈꾸는 에덴동산)으로의 이사를 꿈꾸는데....진정한 사랑을 꿈을 꾸는 두 사람. 과연 그들은 행복하게 살 수 있을까?"
642,도둑냥,관람객 평점 없음,['코미디'],한국,105분,청소년 관람불가,https://movie-phinf.pstatic.net/20200401_67/1585709407575x0lYM_JPEG/movie_image.jpg?type=m203_290_2,한지호, 이예지,,2020,04,15,"2028년 2월, 사진관을 운영하며 무료한 시간을 보내는 노총각 석구에게 묘령의 여인이 조폭같은 사내에게 쫓기듯 들어와 제발 살려달라고 합니다. 자신은 거대 조폭의 딸이며, 반란을 일으킨 부하들이 아빠를 죽이고선 엄청난 재산을 노리는데 자신을 도와주면 백억을 주겠다고 하면서 석구에게 매일 푼돈을 뜯어갑니다. 아무리 봐도 은숙의 정체가 수상한데, 상상할 수도 없는 일이 석구에게 벌어집니다."
643,리골레토,관람객 평점 없음,"['공연실황', '드라마', '스릴러']",독일,130분,12세 관람가,https://movie-phinf.pstatic.net/20200313_60/1584077264382tbduF_JPEG/movie_image.jpg?type=m203_290_2,블라디미르 스토야노프, 스테판 코스텔로, 멜리사 쁘띠,2020,04,05,궁중 광대 리골레토는 그의 주인인 공작의 방탕한 생활을 웃음소재로 삼으면서 실제 음탕한 행실을 능동적으로 돕기도 한다. 리골레토는 알아채지 못하는 사이에 집 안에 꽁꽁 숨겨두었던 자신의 딸 질다를 유괴해 공작에게 데려가는데 가담한다. 충격을 받은 리골레토는 공작의 이기적인 바람기를 벌하기 위해 암살자를 고용하고 상황은 예상치 못한 방향으로 전개된다.
644,레닌그라드 대공습,관람객 평점 없음,"['드라마', '액션']",러시아 연방,97분,12세 관람가,https://movie-phinf.pstatic.net/20200221_163/15822481236613tT3i_JPEG/movie_image.jpg?type=m203_290_2,아르템 비스트로프, 나데즈다 마르키나, 블라디미르 멘쇼프,2020,03,17,"제 2차 세계대전이 한창인 1942년 레닌그라드. 지옥 같은 전쟁에서 돌아온 장교 세레차는 우연히 어린 아이들을 만나 도와주게 된다. 하지만 평온한 시간도 잠시, 세레차는 다시 전쟁으로 돌아가게 된다. 곧이어 시작된 대공습. 아이들을 위해서라도 반드시 승리해야만 한다."
645,악몽,관람객 평점 없음,"['미스터리', '스릴러', '공포']",한국,100분,청소년 관람불가,https://movie-phinf.pstatic.net/20200311_248/15839042685403iV3w_JPEG/movie_image.jpg?type=m203_290_2,오지호, 차지헌, 지성원,2020,03,12,"교통사고로 잃은 딸을 잊지 못하고', 하루하루를 고통으로 보내는 영화 감독 ‘연우’는', 자신의 영화 ‘악몽’을 통해 딸을 살리려 한다.', ', 깊은 슬픔 속에서도 계속 영화를 만들어야만 하는 ‘연우’를', 둘러싸고 미스터리한 사건들이 계속되고,', 꿈과 현실 사이에 혼란스러운 ‘연우’는', 멈출 수 없는 광기 속으로 빠져든다."
646,후계자들,관람객 평점 없음,['액션'],미국,107분,15세 관람가,https://movie-phinf.pstatic.net/20200416_297/1587026430540w0zd2_JPEG/movie_image.jpg?type=m203_290_2,브렌든 프레이저, 로닛 로이,,2020,04,23,"인도 유명 마피아 가문의 수장이', 여러 압박을 이기다 못해 끝내 자살을 택한다.', ', 해서 모든 권력을 첫째 아들이 이어받게 되고,', 이에 불만을 가진 둘째는 무기 밀매 업자와 손잡는다.', ', 과연 심약한 셋째는 누구와 손잡게 될 것이며,', 경찰까지 개입하게 된 이 권력 투쟁은 어떻게 막을 내릴까?"
647,베를린 호스티지,관람객 평점 없음,"['드라마', '스릴러']",독일,97분,12세 관람가,https://movie-phinf.pstatic.net/20200309_299/158371696133108HQP_JPEG/movie_image.jpg?type=m203_290_2,마티아스 지에싱, 페가 페리도니, 모리츠 하이델바흐,2020,03,12,"베를린에서 유일하게 철거되지 않은 아파트, 그곳에서 40년간 살아온 마지막 세입자 ‘하이네’는 끝까지 이주를 거부하고끔찍한 음모를 꾸미는 재개발 추진 회사 ‘럭스’는 철거 당일, 직원 ‘마크’를 그의 집으로 보낸다.때마침 아버지 ‘하이네’의 집에 찾아온 아들 ‘토비아스’는 실랑이를 벌이고 있는 둘을 발견하는데순식간에 세 사람 사이에 손쓸 수 없는 사건이 벌어지고 만다.충격에 휩싸인 ‘토비아스’의 비명으로 가득 찬 아파트에설상가상 경찰 ‘시린’까지 찾아오면서 ‘토비아스’는 돌이킬 수 없는 선택을 하게 되는데…"
648,구직자들,관람객 평점 없음,"['SF', '드라마']",한국,83분,전체 관람가,https://movie-phinf.pstatic.net/20201026_128/1603695758652raa22_JPEG/movie_image.jpg?type=m203_290_2,정경호, 강유석,,2020,11,12,"2220년 대한민국, 기하급수적으로 늘어난', 인공들로 인해 인간들이 설자리는 점점 더 줄어든다.', ', 아픈 아이의 비싼 병원비를 감당해야 하는 진짜 인간(정경호)은', 원본에게 버려진 젊은 인공(강유석)을 우연히 만나게 되고, ', 함께 일자리를 찾아 나선다.', ', 거리를 헤매며 대화를 이어나가는 두 남자.', 하지만 이야기가 깊어질수록 서로에 관한 ', 충격적인 진실이 드러나기 시작하는데..."
649,퍼펙트 내니,관람객 평점 없음,"['드라마', '스릴러']",프랑스,99분,15세 관람가,https://movie-phinf.pstatic.net/20200409_243/1586406027107fFO2f_JPEG/movie_image.jpg?type=m203_290_2,카린 비아르, 레일라 벡티, 앙투안 라이나르츠,2020,04,23,"육아와 가사로 지칠 대로 지친 두 아이의 엄마 ‘미리암’은', 복직을 결심하고 ‘루이즈’를 보모로 고용한다.', 아이들을 너무나 사랑하고 시키지 않은 집안일까지 해내는', 완벽한 ‘루이즈’ 덕분에 가족들은 꿈꾸던 행복을 맛보고,', ‘루이즈’는 점점 이 집에 없어서는 안 될 존재가 되어간다.', 그 사이, 집 한가운데 비극의 씨앗이 조용히 싹을 틔운다."
650,보르도 우정여행,관람객 평점 없음,"['코미디', '드라마', '가족']",프랑스,135분,12세 관람가,https://movie-phinf.pstatic.net/20200609_56/1591678445936D1sPk_JPEG/movie_image.jpg?type=m203_290_2,프랑수아 클루제, 마리옹 꼬띠아르, 로랑 라피트,2020,06,18,"생애 최고의 순간! 반짝반짝 빛나는 캐스팅! 보르도 와인처럼 진한 그들의 우정! ', 맥스와 친구들은 매년 여름 맥스의 보르도 별장에서 휴가를 보내왔지만 지난 몇년간 소원해진 친구들은 모이지 않았다. 맥스가 별장을 팔 결심을 했다는 사실을 모르는 친구들은 맥스의 생일을 맞아 몇 년 만에 깜짝 우정여행을 계획하고 보르도에서 모이는데.."
651,루프,관람객 평점 없음,"['액션', '스릴러']",브라질,98분,15세 관람가,https://movie-phinf.pstatic.net/20201222_113/16085973044425cPeq_JPEG/movie_image.jpg?type=m203_290_2,브루노 가글리아소, 베아트리스 아란테스,,2021,01,,"세상 둘도 없는 사랑하는 연인을 눈 앞에서 잃은 물리학자 다니엘은 바로 그 날, 잔혹한 사건이 있기 직전으로 시간을 되돌릴 수 있는 방법을 알아내고 목숨을 건 위험한 시간 여행을 떠나게 된다. 과거로 돌아가면 쉽게 잡을 수 있을 줄 알았던 범인의 실체는 그러나 점점 묘연해져만 가는데 ..."
654,라비드,관람객 평점 없음,"['공포', '액션']",캐나다,107분,청소년 관람불가,https://movie-phinf.pstatic.net/20200515_72/1589522483604EytKx_JPEG/movie_image.jpg?type=m203_290_2,로라 밴더부트,,,2020,06,11,"로즈는 과거의 트라우마를 지닌 채 살아가는 소심한 디자이너 지망생이다. 어느 날, 동료로부터 초대받은 ', 클럽 파티에서 모욕을 당하고 귀가하던 중 교통사고를 당해 안면에 끔찍한 장애를 얻게 된다. 이때 그녀를', 돕겠다는 의문의 인물 버러스 박사의 실험적 치료를 받게 된다. 성공적으로 보이는 약물 치료에 기뻐하지만', 피를 갈망하는 기묘한 부작용이 나타나기 시작한다. 그 후 그녀에게 물리적 상처를 입은 사람들이 잔인한 ', 흡혈 괴물로 변해 인류를 위협하는 끔찍한 감염이 시작되는데..."
658,블러드샷,관람객 평점 없음,"['액션', '드라마', '판타지', 'SF']",미국,109분,15세 관람가,https://movie-phinf.pstatic.net/20200518_15/1589763097565dNabl_JPEG/movie_image.jpg?type=m203_290_2,빈 디젤, 에이사 곤살레스, 샘 휴건,2020,05,21,"아내와 함께 휴가를 보내던 특수 부대원 ‘레이’(빈 디젤)는 정체불명의 적에게 납치되어 살해당한다.', 혈액 속에 수많은 나노봇을 주입하는 최첨단 프로젝트 블러드샷을 통해 부활한 레이.', 놀라운 치유력과 가공할 만한 파워의 슈퍼 히어로로 업그레이드된 레이는', 아내를 죽인 놈을 찾아 무차별적인 복수의 질주를 시작한다.', 하지만, 자신이 진짜라고 생각했던 것들이 거짓임을 깨닫게 되는데…"
660,샬러턴,관람객 평점 없음,['드라마'],체코,118분,15세 관람가,https://movie-phinf.pstatic.net/20210408_243/1617857902154TJ2uD_JPEG/movie_image.jpg?type=m203_290_2,이반 트로얀, 요아힘 파울 아스뷰크,,2021,04,22,"20세기 초 체코슬로바키아, 약초로 사람을 치유하는 기적 같은 의술을 가진 얀 미콜라섹.공인 약초 전문가로 불리는 그는 타고난 재능과 뛰어난 실력으로 곧 유명해지고,하루에도 수백 명의 환자들을 치료하며 부와 명성을 얻게 된다.얼마 후, 정권이 교체되고 온갖 훼방으로 모든 걸 잃을 위기에 놓인 그는수많은 난관을 겪게 되는데…수백만 명을 살린 기적의 치료법, 그 이면의 숨은 이야기들이 공개된다!"
661,피노키오,관람객 평점 없음,"['드라마', '판타지']",이탈리아,125분,12세 관람가,https://movie-phinf.pstatic.net/20210308_299/1615180899564QJkvf_JPEG/movie_image.jpg?type=m203_290_2,페데리코 예라피, 로베르토 베니니, 마린 백트,2021,03,18,"가난하게 살아가던 목공 제페토 할아버지는 멋진 꼭두각시를 만들어 돈을 벌 계획을 세운다. 나무를 구해 꼭두각시를 만들던 할아버지는 깜짝 놀란다. 나무 인형에게서 심장이 뛰는 소리가 들리고, 움직이기 시작한 것이다. 제페토 할아버지는 ‘피노키오’라는 이름을 지어주고, 아들로 삼기로 한다.하지만 호기심이 많은 피노키오는 말썽만 부리며 할아버지를 걱정만 하게 만들고, 심지어 학교 책을 팔아 인형극 구경을 가게 되는데…!"
662,폴리스,관람객 평점 없음,"['드라마', '범죄']",프랑스,99분,15세 관람가,https://movie-phinf.pstatic.net/20210204_65/1612421166988W9obD_JPEG/movie_image.jpg?type=m203_290_2,오마 사이, 페이만 마아디, 버지니아 에피라,2021,02,10,"야간근무를 맡은 세 명의 경찰에게 임무가 맡겨진다.오늘 밤, 한 죄수를 샤를 드골 공항까지 호송할 것!호송 중, 단순 불법체류자인줄만 알았던 죄수는 망명을 신청한 정치범으로감옥에서 고문까지 받았던 것을 알게 된다.게다가 그가 고국으로 돌아가는 즉시 사형당할 수 있다는 사실에세 경찰은 그를 예정대로 공항까지 호송해야 할지, 의견이 엇갈리며 충돌하는데…누군가의 인생이 걸린 단 한 번의 선택, 당신이라면 어떻게 하겠습니까?"
666,점보,관람객 평점 없음,['드라마'],프랑스,91분,15세 관람가,https://movie-phinf.pstatic.net/20210503_144/16200037241049HexT_JPEG/movie_image.jpg?type=m203_290_2,노에미 메를랑, 엠마누엘 베르코,,2021,05,05,"수줍음 많은 소녀 ‘잔’은 또래와 어울리지 못한 채놀이공원 야간 청소부로 일하며 자신만의 세계에서 외롭게 살아가고 있다.그런 잔이 유일하게 사랑의 감정을 느끼는 존재는 환한 불빛을 밝히며 돌아가는 거대한 놀이기구.잔은 ‘점보’라는 이름을 붙여 사랑을 속삭이고, 점보 역시 그런 잔에게 반응하기 시작한다.점보와의 교감으로 잔은 행복을 찾기 시작하지만잔의 엄마를 비롯한 주변 사람들은 그녀를 이해하지 못하고,설상가상 놀이공원에서는 수익성이 떨어진다는 이유로 점보를 철거할 계획을 세우는데…"
674,배드 헤어,관람객 평점 없음,['공포'],미국,103분,15세 관람가,https://movie-phinf.pstatic.net/20210427_264/1619505595636CnRHb_JPEG/movie_image.jpg?type=m203_290_2,엘르 로레인, 바네사 윌리암스, 제이 파로아,2021,05,05,"1989년 LA, 음악 전문 케이블 방송국에서 일하는 애나는 스타 VJ가 되는 것이 꿈이다. 하지만 볼품없는 곱슬 머리 때문에 주변으로부터 무시당하기 일쑤다. 고민하는 그녀에게 특별한 미용실을 추천해 주는 동료, 애나는 그곳에서 찰랑이는 생머리로 다시 태어난다. 이후, 머리카락에 주문이라도 걸린 듯 모든 일이 잘 풀리기 시작하지만 애나는 곧 머리카락이 피를 갈망한다는 사실을 알게 되는데…"
675,구독좋아요알림설정,관람객 평점 없음,"['코미디', '스릴러', '범죄']",미국,93분,청소년 관람불가,https://movie-phinf.pstatic.net/20210512_175/1620780326576GThXb_JPEG/movie_image.jpg?type=m203_290_2,조 키어리,,,2021,05,19,‘커트의 세상’을 운영하는 10년차 듣보 크리에이터 ‘커트’(조 키어리)는100만 유튜버를 꿈꾸지만 조회 수는 두 자릿수를 넘긴 이력없이 늘 미미하기만 한다.대박 낼 아이템을 찾던 그는 카풀 서비스를 이용해 자신의 차에 탑승하는 승객들과소통하는 모습을 실시간으로 방송하는 ‘더 레슨’을 기획하게 되고높은 조회수를 위해 점점 더 자극적이고 광기어린 라이브를 진행하게 되는데…“너도 내가 궁금하잖아”살고 싶다면 잊지 말고 <구독좋아요알림설정>
678,엔젤스 폴른,관람객 평점 없음,"['액션', 'SF']",미국,86분,15세 관람가,https://movie-phinf.pstatic.net/20200207_10/1581041388613x2hIk_JPEG/movie_image.jpg?type=m203_290_2,휴스턴 라인즈, 마이클 테, 니콜라 포제너,2020,02,21,"인류를 멸망시킬 타락한 천사들이 찾아왔다!악마에 맞서 싸우다 아내를 잃은 ‘가브리엘’에게 찾아온 예전 팀 동료 ‘마이클’.세상을 멸망시킬 네 천사가 내려왔다는 소식을 알게 된 이들은 예전 팀 동료 ‘한나’, ‘타이’와 함께 천사를 찾아 나선다. 미래를 보는 ‘한나’의 도움으로 바투산 속에서 천사를 발견하지만, 이윽고 아내의 죽음과 관련된 믿을 수 없는 사실을 알게 되는데…질병, 전쟁, 기근, 죽음을 이끄는 네 천사를 찾아 인류의 멸망을 막아라!"
680,캡쳐,관람객 평점 없음,['스릴러'],미국,81분,청소년 관람불가,https://movie-phinf.pstatic.net/20200110_127/15786188702828OfIQ_JPEG/movie_image.jpg?type=m203_290_2,리즈 고든, 가브리엘 로마넬로, 메간 메델린,2020,01,16,"SNS를 통해 음란 행위를 생중계하며 돈벌이 중인 고교 5인방.수위가 높아질 수록 계좌에 돈은 쌓여가지만,이를 못마땅하게 여긴 한 남자의 분노 역시 극대화된다.오늘밤, 음탕함과 살인이 동시에 라이브되는 극한의 영상을 절대 놓치지 말 것!"
681,작전명 D-DAY,관람객 평점 없음,['전쟁'],미국,85분,15세 관람가,https://movie-phinf.pstatic.net/20200117_271/1579238200876KdlBC_JPEG/movie_image.jpg?type=m203_290_2,랜디 커투어, 척 리델, 켈란 루드,2020,01,23,"1944년 어느 날, 러더 중령의 지휘 하에 정예 멤버로 이루어진 미군은 독일군의 기관총좌를 제거하라는 명령을 받고 아무 것도 모른 채 적진으로 뛰어든다. 독일군이 대포를 숨긴 장소를 모른 채 병사나 무기에서 수적으로 열세한 그들은 목숨을 걸고 위험한 지역을 횡단한다.브래들리 장군, 러더 중령, 롬멜 상사, 라이틀 소령은 제 2중대를 이끌고 노르망디 상륙 작전에 돌입하기에 이르는데...! 1944년 6월 6일, 그날의 영웅을 확인하라!"
682,자매들:감금의 추억,관람객 평점 없음,['드라마'],한국,70분,청소년 관람불가,https://movie-phinf.pstatic.net/20200117_116/1579247228559K7VRr_JPEG/movie_image.jpg?type=m203_290_2,김민정, 새봄, 민도윤,2020,01,17,"백화점의 샵 매니저 일로 바쁜 일상을 보내던 민지는 늦은 밤 지갑을 돌려주기 위해 따라오던 남성을 성추행범으로 착각해 경찰에 신고하고, 이 사건을 계기로 당시 초등학교의 교사로 일하던 경호는 자신의 삶을 송두리 채 잃어버린 채 민지와 세상의 기억 속에서 지워져 버린다.그렇게 2년 뒤, 약혼자 현우와의 결혼준비로 바쁜 시간을 보내던 민지는 괴한의 습격으로 납치를 당하게 되고, 『자신의 이름을 기억하면 돌려 보내주겠다』는 그의 제안에, 과거의 남자들을 떠 올려보지만, 정작 자신의 경솔함으로 인해 악마가 되어버린 경호의 이름은 생각해내질 못한다. 날이 갈수록 포악해지는 경호의 횡포에 민지가 탈출을 시도할 즈음.현우는 실종된 민지를 찾아나서는 과정에서 그녀의 문란한 과거를 접하며 충격에 빠져 드는데, 과연 민지는 납치범의 손아귀에서 벗어나 현우의 품으로 돌아 갈 수 있을까?"
684,음란주택:노예가 된 아내,관람객 평점 없음,['드라마'],한국,72분,청소년 관람불가,https://movie-phinf.pstatic.net/20200130_139/1580368007208pVEW3_JPEG/movie_image.jpg?type=m203_290_2,김민정, 새봄, 민도윤,2020,02,06,"지방의 한 맨션으로 이사를 오게 된 현정은 뜻밖의 행운에 쾌재를 부르고 있었다.층간 소음문제로 한바탕 홍역을 치렀던 탓에, 방음시설이 재대로 되어있는 조용한 집을 소망했던 그녀.입주자 대부분이 맞벌이 부부인 때문인지, 한 낱의 맨션은 유령의 도시처럼 조용하다. “사람이 살기는 하는 건가?”의아한 생각에 이웃들을 살펴보니, 방음이 잘 되는 게 아니라 숨을 죽이고 살았던 것잠시 집을 비우고 돌아와 보니 누군가 집에 들어와 뒤진 흔적이 생생하게 남겨져 있다.득달같이 관리실로 달려가 따져보니 외부인의 침입은 없었다는 대답과 함께현관엔 주민들의 경고장이 붙어있다. ※ 경고- 신혼인건 알겠는데 조용히 좀 삽시다!누군가 자신의 일거수일투족을 감시하고 있다는 생각에 숨이 막혀오는 현정. 아파트 여자들의 비밀과 약점을 움켜쥐고 제왕처럼 군림하는 <관리인>의 존재가 서서히 그 실체를 드러내는데...."
685,프론테라스,관람객 평점 없음,"['액션', '스릴러', '드라마']",미국,105분,청소년 관람불가,https://movie-phinf.pstatic.net/20200225_146/1582618754158b4h3N_JPEG/movie_image.jpg?type=m203_290_2,스티브 오로페자, 스티븐 션 가랜드, 웨이드 에버릿,2020,03,05,"멕시코 이민자 출신의 ‘레예스 아베이타’는 국경수비대 베테랑 요원이다. 어느 날, 환각효과가 기존 헤로인 3배에 달하는 신종 마약이 남서부 국경지역을 중심으로 빠르게 확산되고 있다는 정보를 입수한 워싱턴은 대테러 작전을 전담해온 ‘아이반 슬로언’의 최정예 팀을 국경에 파견해 신종 마약 봉쇄작전을 전개하고 이를 지원하기 위해 레예스가 차출되는데..."
